oms.contact.ContactMech

contactMechId,contactMechTypeEnumId,infoString
CM221,TELECOM_ADDRESS,
CM145,EMAIL_ADDRESS,qjones@chambers-bauer.info
CM221,TELECOM_ADDRESS,
CM449,EMAIL_ADDRESS,jameswilson@cook-reynolds.com
CM146,EMAIL_ADDRESS,clayton26@gmail.com
CM859,EMAIL_ADDRESS,davidsmith@gmail.com
CM147,EMAIL_ADDRESS,stevenpaul@gmail.com
CM402,EMAIL_ADDRESS,johnstonshane@gmail.com
CM148,EMAIL_ADDRESS,susanhartman@yahoo.com
CM745,TELECOM_ADDRESS,
CM673,POSTAL_ADDRESS,
CM149,EMAIL_ADDRESS,eric11@vazquez.com
CM168,TELECOM_ADDRESS,
CM416,TELECOM_ADDRESS,
CM753,EMAIL_ADDRESS,mike53@tran-manning.com
